Thread_Level,N,Output
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.506798 sec.
Parallel quicksort took: 1.392492 sec.
Built-in quicksort took: 4.175067 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.520731 sec.
Parallel quicksort took: 1.533257 sec.
Built-in quicksort took: 4.145639 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.487615 sec.
Parallel quicksort took: 1.733859 sec.
Built-in quicksort took: 4.119611 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.533955 sec.
Parallel quicksort took: 1.552415 sec.
Built-in quicksort took: 4.134624 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.486016 sec.
Parallel quicksort took: 1.631781 sec.
Built-in quicksort took: 4.078116 sec."
2,10000000,"Thread value = 1 
Sequential quicksort took: 1.479346 sec.
Parallel quicksort took: 1.636393 sec.
Built-in quicksort took: 4.154435 sec."
2,10000000,"Thread value = 1 
Sequential quicksort took: 1.512508 sec.
Parallel quicksort took: 1.468536 sec.
Built-in quicksort took: 4.109831 sec."
2,10000000,"Thread value = 1 
Sequential quicksort took: 1.555683 sec.
Parallel quicksort took: 1.375481 sec.
Built-in quicksort took: 4.347598 sec."
2,10000000,"Thread value = 1 
Sequential quicksort took: 1.501989 sec.
Parallel quicksort took: 1.584032 sec.
Built-in quicksort took: 4.167549 sec."
2,10000000,"Thread value = 1 
Sequential quicksort took: 1.433270 sec.
Parallel quicksort took: 1.654346 sec.
Built-in quicksort took: 4.208875 sec."
4,10000000,"Thread value = 1 
Sequential quicksort took: 1.495620 sec.
Parallel quicksort took: 1.536545 sec.
Built-in quicksort took: 4.214207 sec."
4,10000000,"Thread value = 1 
Sequential quicksort took: 1.477183 sec.
Parallel quicksort took: 1.715690 sec.
Built-in quicksort took: 4.297470 sec."
4,10000000,"Thread value = 1 
Sequential quicksort took: 1.493928 sec.
Parallel quicksort took: 1.519236 sec.
Built-in quicksort took: 4.254339 sec."
4,10000000,"Thread value = 1 
Sequential quicksort took: 1.511271 sec.
Parallel quicksort took: 1.415846 sec.
Built-in quicksort took: 4.189294 sec."
4,10000000,"Thread value = 1 
Sequential quicksort took: 1.539392 sec.
Parallel quicksort took: 1.472693 sec.
Built-in quicksort took: 4.158950 sec."
6,10000000,"Thread value = 1 
Sequential quicksort took: 1.478845 sec.
Parallel quicksort took: 1.556231 sec.
Built-in quicksort took: 4.286714 sec."
6,10000000,"Thread value = 1 
Sequential quicksort took: 1.463424 sec.
Parallel quicksort took: 1.725127 sec.
Built-in quicksort took: 4.230022 sec."
6,10000000,"Thread value = 1 
Sequential quicksort took: 1.458502 sec.
Parallel quicksort took: 1.576560 sec.
Built-in quicksort took: 4.179716 sec."
6,10000000,"Thread value = 1 
Sequential quicksort took: 1.525210 sec.
Parallel quicksort took: 1.549853 sec.
Built-in quicksort took: 4.323371 sec."
6,10000000,"Thread value = 1 
Sequential quicksort took: 1.514705 sec.
Parallel quicksort took: 1.640899 sec.
Built-in quicksort took: 4.348674 sec."
8,10000000,"Thread value = 1 
Sequential quicksort took: 1.422989 sec.
Parallel quicksort took: 1.583123 sec.
Built-in quicksort took: 4.200490 sec."
8,10000000,"Thread value = 1 
Sequential quicksort took: 1.484807 sec.
Parallel quicksort took: 1.527205 sec.
Built-in quicksort took: 4.106557 sec."
8,10000000,"Thread value = 1 
Sequential quicksort took: 1.452374 sec.
Parallel quicksort took: 1.512543 sec.
Built-in quicksort took: 4.291570 sec."
8,10000000,"Thread value = 1 
Sequential quicksort took: 1.534584 sec.
Parallel quicksort took: 1.556535 sec.
Built-in quicksort took: 4.182435 sec."
8,10000000,"Thread value = 1 
Sequential quicksort took: 1.531572 sec.
Parallel quicksort took: 1.710334 sec.
Built-in quicksort took: 4.167233 sec."
10,10000000,"Thread value = 1 
Sequential quicksort took: 1.529840 sec.
Parallel quicksort took: 1.654982 sec.
Built-in quicksort took: 4.191520 sec."
10,10000000,"Thread value = 1 
Sequential quicksort took: 1.615856 sec.
Parallel quicksort took: 1.655959 sec.
Built-in quicksort took: 4.251346 sec."
10,10000000,"Thread value = 1 
Sequential quicksort took: 1.476920 sec.
Parallel quicksort took: 1.571145 sec.
Built-in quicksort took: 4.185097 sec."
10,10000000,"Thread value = 1 
Sequential quicksort took: 1.466765 sec.
Parallel quicksort took: 1.492792 sec.
Built-in quicksort took: 4.182634 sec."
10,10000000,"Thread value = 1 
Sequential quicksort took: 1.506812 sec.
Parallel quicksort took: 1.598180 sec.
Built-in quicksort took: 4.237168 sec."
