Thread_Level,N,Output
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.480006 sec.
Parallel quicksort took: 1.594118 sec.
Built-in quicksort took: 4.011250 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.475302 sec.
Parallel quicksort took: 1.639428 sec.
Built-in quicksort took: 4.209875 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.432579 sec.
Parallel quicksort took: 1.555409 sec.
Built-in quicksort took: 4.172907 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.554525 sec.
Parallel quicksort took: 1.545840 sec.
Built-in quicksort took: 4.222029 sec."
1,10000000,"Thread value = 1 
Sequential quicksort took: 1.526077 sec.
Parallel quicksort took: 1.810680 sec.
Built-in quicksort took: 4.209509 sec."
2,10000000,"Thread value = 2 
Sequential quicksort took: 1.443422 sec.
Parallel quicksort took: 1.914484 sec.
Built-in quicksort took: 4.159670 sec."
2,10000000,"Thread value = 2 
Sequential quicksort took: 1.465704 sec.
Parallel quicksort took: 1.717313 sec.
Built-in quicksort took: 4.232600 sec."
2,10000000,"Thread value = 2 
Sequential quicksort took: 1.485720 sec.
Parallel quicksort took: 1.652752 sec.
Built-in quicksort took: 4.192386 sec."
2,10000000,"Thread value = 2 
Sequential quicksort took: 1.520298 sec.
Parallel quicksort took: 1.956903 sec.
Built-in quicksort took: 4.297431 sec."
2,10000000,"Thread value = 2 
Sequential quicksort took: 1.625643 sec.
Parallel quicksort took: 1.880272 sec.
Built-in quicksort took: 4.067693 sec."
4,10000000,"Thread value = 4 
Sequential quicksort took: 1.476038 sec.
Parallel quicksort took: 1.959410 sec.
Built-in quicksort took: 4.190112 sec."
4,10000000,"Thread value = 4 
Sequential quicksort took: 1.549526 sec.
Parallel quicksort took: 1.760235 sec.
Built-in quicksort took: 4.237341 sec."
4,10000000,"Thread value = 4 
Sequential quicksort took: 1.500941 sec.
Parallel quicksort took: 2.676482 sec.
Built-in quicksort took: 4.097152 sec."
4,10000000,"Thread value = 4 
Sequential quicksort took: 1.464139 sec.
Parallel quicksort took: 2.239048 sec.
Built-in quicksort took: 4.180829 sec."
4,10000000,"Thread value = 4 
Sequential quicksort took: 1.513362 sec.
Parallel quicksort took: 3.034238 sec.
Built-in quicksort took: 4.191721 sec."
6,10000000,"Thread value = 6 
Sequential quicksort took: 1.472279 sec.
Parallel quicksort took: 2.928383 sec.
Built-in quicksort took: 4.160201 sec."
6,10000000,"Thread value = 6 
Sequential quicksort took: 1.499852 sec.
Parallel quicksort took: 2.448205 sec.
Built-in quicksort took: 4.221973 sec."
6,10000000,"Thread value = 6 
Sequential quicksort took: 1.491648 sec.
Parallel quicksort took: 2.717708 sec.
Built-in quicksort took: 4.178006 sec."
6,10000000,"Thread value = 6 
Sequential quicksort took: 1.508922 sec.
Parallel quicksort took: 2.516101 sec.
Built-in quicksort took: 4.194851 sec."
6,10000000,"Thread value = 6 
Sequential quicksort took: 1.545655 sec.
Parallel quicksort took: 3.193579 sec.
Built-in quicksort took: 4.105011 sec."
8,10000000,"Thread value = 8 
Sequential quicksort took: 1.459810 sec.
Parallel quicksort took: 2.432556 sec.
Built-in quicksort took: 4.073357 sec."
8,10000000,"Thread value = 8 
Sequential quicksort took: 1.449213 sec.
Parallel quicksort took: 2.725026 sec.
Built-in quicksort took: 4.270371 sec."
8,10000000,"Thread value = 8 
Sequential quicksort took: 1.476653 sec.
Parallel quicksort took: 2.608430 sec.
Built-in quicksort took: 4.067311 sec."
8,10000000,"Thread value = 8 
Sequential quicksort took: 1.493027 sec.
Parallel quicksort took: 3.051158 sec.
Built-in quicksort took: 4.253510 sec."
8,10000000,"Thread value = 8 
Sequential quicksort took: 1.522501 sec.
Parallel quicksort took: 2.498702 sec.
Built-in quicksort took: 4.186719 sec."
10,10000000,"Thread value = 10 
Sequential quicksort took: 1.428891 sec.
Parallel quicksort took: 2.705970 sec.
Built-in quicksort took: 4.233459 sec."
10,10000000,"Thread value = 10 
Sequential quicksort took: 1.489531 sec.
Parallel quicksort took: 2.330441 sec.
Built-in quicksort took: 4.208804 sec."
10,10000000,"Thread value = 10 
Sequential quicksort took: 1.438525 sec.
Parallel quicksort took: 2.790520 sec.
Built-in quicksort took: 4.101401 sec."
10,10000000,"Thread value = 10 
Sequential quicksort took: 1.474566 sec.
Parallel quicksort took: 2.892136 sec.
Built-in quicksort took: 4.159136 sec."
10,10000000,"Thread value = 10 
Sequential quicksort took: 1.488279 sec.
Parallel quicksort took: 2.855006 sec.
Built-in quicksort took: 4.182547 sec."
